Time,cell_1,cell_2,cell_10,cell_18,cell_32,cell_42,cell_52,cell_55,cell_67,cell_82
0,0.9767749117265552,1.0,0.3570714169459287,1.0,0.43554669547388,0.3686967477163202,1.0,1.0,0.0,0.1637349982789726
1,0.9918755427879402,0.9356443062798048,0.3025372103381697,0.9913013360223508,0.4946920650021302,0.3387776688881982,0.9077795358891176,0.9837411367212217,0.0,0.1043710598574226
2,0.9593011607824818,0.8497051175967495,0.2532963910509184,0.9707143165487424,0.572166841348116,0.4084484106463978,0.9507035089579464,0.95977859099788,0.0,0.1734986279559677
3,0.9651105767549828,0.8450242090585848,0.2664104402272646,0.9136061847707694,0.518892651816268,0.3020893307885534,0.8688410414105301,0.8912675423134035,0.0,0.1455304771347143
4,1.0,0.8428250410622331,0.5046384374959549,0.9623479518282954,0.5405479715167123,0.6105806646106378,0.4548522478587574,0.818270964784173,0.2014708071494418,0.8200854587883847
5,0.8667209220867202,0.7961297871588234,0.2124319322279531,0.7702248608243671,0.4729290161878096,0.3116183314282468,0.8648218697382635,0.8756871708045832,0.0262531012186205,0.1647026709457498
6,0.9737155608803764,0.8303778755371115,0.4814129485537127,0.8829884107417916,0.5246576442771145,0.6419577365543184,0.4713657796176705,0.8071932963164826,0.214797648254185,0.7792216811034129
7,0.9232863828529646,0.8049483951027159,0.4224497364311605,0.8399084574091401,0.468610059839189,0.5108038535310269,0.4594778266995974,0.8629388217964454,0.2081178790000368,0.8211336893406702
8,0.9303045967049948,0.7614743884261841,0.4635867568169085,0.8480886602204887,0.4599721657808411,0.655955702625023,0.5460058458796088,0.8696590594669776,0.2026607539859336,0.7672975544720114
9,0.9184959212288564,0.7806094264455204,0.3867866456782269,0.7695991764201618,0.4990090997275311,0.5485512384457207,0.4811701638374449,0.7901296431178138,0.1968355722640887,0.7798980341929885
10,0.8544791934684106,0.7976127580027714,0.3400557469164248,0.7781363412374338,0.4550284590532285,0.4764169463648943,0.4143950432011431,0.7600905735199809,0.1630989000243475,0.7731705399532764
11,0.917782141288354,0.7255973527765549,0.4178531927363368,0.7565072328771859,0.4019220365280739,0.5186993725949045,0.4255700616874854,0.6890378177054346,0.1499540064597489,0.7472999137528252
12,0.7510787471007305,0.7189347323651577,0.1114371099603349,0.7260580209814127,0.3588438714335777,0.2904564141917196,0.6942906404269021,0.6996366976352684,0.0,0.1685096933381424
13,0.8450220961636005,0.7214954971264652,0.3294652954651091,0.783319551933119,0.3643941723198717,0.5888130518283956,0.3926345789115892,0.6398907515885308,0.1785717372842734,0.7231225978011827
14,0.7537866557631849,0.630833952140034,0.1586534987818344,0.6650480333477595,0.332571833346527,0.2353343565442304,0.7600458756914127,0.7390104286000435,0.0,0.146365695903269
15,0.8420727613559031,0.6951409456906636,0.2993862465146815,0.7927797462434036,0.3562758634645546,0.5267427357014706,0.3787259242107078,0.635110001704588,0.1361597124599318,0.6357596725490023
16,0.8239134388937168,0.6384722489357959,0.3298526242733895,0.7114627967881028,0.2999092713823288,0.4604935137765354,0.4410758300830407,0.5903201566034783,0.1236490517844647,0.7125354360795066
17,0.8010435735034438,0.6133156373141941,0.3926343510629795,0.6741546927658301,0.4089272049338543,0.5378515159087067,0.4211027982419798,0.5732333740492294,0.1957651928773281,0.6331226037863064
18,0.8149679658191937,0.6504316899943081,0.2897301615375073,0.6881976480843929,0.4425232209618899,0.4321133663945721,0.415706830006392,0.6054842631903266,0.1848342714202744,0.6066519869646027
19,0.7584029885518897,0.6478559237970155,0.2919683517821803,0.6546988827840183,0.3991461927470927,0.4243324541900879,0.4128873379283739,0.5874962933603662,0.0954684041994948,0.6744022446114533
20,0.7969976284372772,0.6159976708181378,0.2964744169886722,0.6139268639655298,0.2447828783164418,0.4907884684372246,0.4436373919720129,0.5341665161500487,0.1204780242889872,0.6019715070328387
21,0.7441698804832326,0.5194147572721894,0.1152586547078786,0.5983695828908597,0.3476935795208265,0.171406910259255,0.6374124650754194,0.7110966732023362,0.0,0.1512065529661828
22,0.7629187331324837,0.5739130800294129,0.291445506148432,0.6663415911059072,0.3026158238133727,0.5051941094467789,0.3711136515772185,0.5299328185934219,0.0954019646154479,0.5787447493448118
23,0.7657330508376774,0.597774635248194,0.2618252343922982,0.6793271243263663,0.3786168565720023,0.462485892558062,0.310995108973877,0.5498070740900988,0.1326222416782678,0.6098244804619196
24,0.6562317078490205,0.5480788035677939,0.1144319852447492,0.5727289831918341,0.276624401966946,0.2392734000777196,0.5775968202116397,0.5303270440229496,0.0,0.0966317528191202
